,Municipality,Property_type,Year,Price_min,Price_max,Size_min,Size_max,totalhits,number_of_pages
0,København,villa,2023,nothing,nothing,nothing,nothing,414,21
1,København,villa,2022,nothing,nothing,nothing,nothing,426,22
2,København,villa,2021,nothing,nothing,nothing,nothing,676,34
3,København,villa,2020,nothing,nothing,nothing,nothing,750,38
4,København,villa,2019,nothing,nothing,nothing,nothing,620,31
5,København,villa,2018,nothing,nothing,nothing,nothing,664,34
6,København,villa,2017,nothing,nothing,nothing,nothing,745,38
7,København,villa,2016,nothing,nothing,nothing,nothing,726,37
8,København,villa,2015,nothing,nothing,nothing,nothing,726,37
9,København,villa,2014,nothing,nothing,nothing,nothing,717,36
10,København,villa,2013,nothing,nothing,nothing,nothing,676,34
11,København,condo,2023,nothing,nothing,nothing,nothing,4589,230
12,København,condo,2022,nothing,nothing,nothing,nothing,5791,290
13,København,condo,2021,nothing,nothing,nothing,nothing,8690,435
14,København,condo,2020,nothing,nothing,nothing,nothing,8253,413
15,København,condo,2019,nothing,nothing,nothing,nothing,7511,376
16,København,condo,2018,nothing,nothing,nothing,nothing,7996,400
17,København,condo,2017,nothing,nothing,nothing,nothing,9445,473
18,København,condo,2016,nothing,nothing,nothing,nothing,8864,444
19,København,condo,2015,nothing,nothing,nothing,nothing,9695,485
20,København,condo,2014,nothing,nothing,nothing,nothing,8158,408
21,København,condo,2013,nothing,nothing,nothing,nothing,6501,326
22,København,terraced house,nothing,nothing,nothing,nothing,nothing,4199,210
23,Aarhus,villa,2023,nothing,nothing,nothing,nothing,1049,53
24,Aarhus,villa,2022,nothing,nothing,nothing,nothing,1598,80
25,Aarhus,villa,2021,nothing,nothing,nothing,nothing,2242,113
26,Aarhus,villa,2020,nothing,nothing,nothing,nothing,2370,119
27,Aarhus,villa,2019,nothing,nothing,nothing,nothing,2091,105
28,Aarhus,villa,2018,nothing,nothing,nothing,nothing,2229,112
29,Aarhus,villa,2017,nothing,nothing,nothing,nothing,2238,112
30,Aarhus,villa,2016,nothing,nothing,nothing,nothing,1992,100
31,Aarhus,villa,2015,nothing,nothing,nothing,nothing,2197,110
32,Aarhus,villa,2014,nothing,nothing,nothing,nothing,1897,95
33,Aarhus,villa,2013,nothing,nothing,nothing,nothing,1678,84
34,Aarhus,condo,2023,nothing,nothing,nothing,nothing,1179,59
35,Aarhus,condo,2022,nothing,nothing,nothing,nothing,1738,87
36,Aarhus,condo,2021,nothing,nothing,nothing,nothing,2875,144
37,Aarhus,condo,2020,nothing,nothing,nothing,nothing,2712,136
38,Aarhus,condo,2019,nothing,nothing,nothing,nothing,2824,142
39,Aarhus,condo,2018,nothing,nothing,nothing,nothing,2651,133
40,Aarhus,condo,2017,nothing,nothing,nothing,nothing,3057,153
41,Aarhus,condo,2016,nothing,nothing,nothing,nothing,3083,155
42,Aarhus,condo,2015,nothing,nothing,nothing,nothing,2992,150
43,Aarhus,condo,2014,nothing,nothing,nothing,nothing,2415,121
44,Aarhus,condo,2013,nothing,nothing,nothing,nothing,2078,104
45,Aarhus,terraced house,nothing,nothing,nothing,nothing,nothing,8569,429
46,Aalborg,villa,2023,nothing,nothing,nothing,nothing,1237,62
47,Aalborg,villa,2022,nothing,nothing,nothing,nothing,1747,88
48,Aalborg,villa,2021,nothing,nothing,nothing,nothing,2620,131
49,Aalborg,villa,2020,nothing,nothing,nothing,nothing,2208,111
50,Aalborg,villa,2019,nothing,nothing,nothing,nothing,1968,99
51,Aalborg,villa,2018,nothing,nothing,nothing,nothing,1959,98
